stage,case_id,backend,family,kind,count,status,engine,fallback_reason,space_size,visited,evaluated,preparation_evaluations,pruned_states,solutions_seen,required_cells,certificate_bytes,diagnosis_seconds,exhausted_budget,shard_path,shard_sha256
confirmation,2c9b8aafd64f869f0d1888da,v4,ratio,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.4323666639993462,max_nodes,results/v518_confirmation_predictions_v1/shards/v4_numeric/2c9b8aafd64f869f0d1888da.json,4405f70277f2768ace1b8418786e4dc994b2f4b6c40b3b64ad5e39f6f30382b1
confirmation,2c9b8aafd64f869f0d1888da,v511,ratio,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.4288816179996502,max_nodes,results/v518_confirmation_predictions_v1/shards/v511_numeric/2c9b8aafd64f869f0d1888da.json,4a69246d90471683d8c78533e49d8165ca1f86731f98354bf1d892b3010c32d9
confirmation,cef74e120419221e3baf5a8c,v4,ratio,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.4347404979998828,max_nodes,results/v518_confirmation_predictions_v1/shards/v4_numeric/cef74e120419221e3baf5a8c.json,cd363dee249852161597c03ccf96a8709730b2f245a8745eb76f1e7c2caa0c58
confirmation,cef74e120419221e3baf5a8c,v511,ratio,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.4488702939997893,max_nodes,results/v518_confirmation_predictions_v1/shards/v511_numeric/cef74e120419221e3baf5a8c.json,dabf0a2b7087f832cb78c7fb8f8d912d2ea6241ef93c7766eebc0dd27d5794ed
confirmation,8c8b02219e6b73ec77398242,v4,weighted,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,5.274264642000162,max_evaluations,results/v518_confirmation_predictions_v1/shards/v4_numeric/8c8b02219e6b73ec77398242.json,2e25b8266aa6761a2a9872fcadf7438c3f07c0535e0aa3165a66116807eaf5cb
confirmation,8c8b02219e6b73ec77398242,v511,weighted,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,5.312005476000195,max_evaluations,results/v518_confirmation_predictions_v1/shards/v511_numeric/8c8b02219e6b73ec77398242.json,33d86854c57a6bef931ed369e9dcccb3732e59b6d633a2ce1ca06038a932f117
confirmation,eb21a596a0b88e68ce56ffb4,v4,weighted,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,5.302551008999217,max_evaluations,results/v518_confirmation_predictions_v1/shards/v4_numeric/eb21a596a0b88e68ce56ffb4.json,a8f24763f50a9b188382736640ea1727152fe604706e19dbbc185a74bb57874f
confirmation,eb21a596a0b88e68ce56ffb4,v511,weighted,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,5.309176530000514,max_evaluations,results/v518_confirmation_predictions_v1/shards/v511_numeric/eb21a596a0b88e68ce56ffb4.json,827ce7e660086c1e2608f4380cb57bd704ced6f3e77c18cc706d436eb2f730cc
confirmation,8c64fee383dc5d948db80431,v4,weighted,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.45807791000061115,max_nodes,results/v518_confirmation_predictions_v1/shards/v4_numeric/8c64fee383dc5d948db80431.json,ea7bbe6258563ce0b4cae1ef36e5df91eff5f78df418d17a31529ab81337665a
confirmation,8c64fee383dc5d948db80431,v511,weighted,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.470881074999852,max_nodes,results/v518_confirmation_predictions_v1/shards/v511_numeric/8c64fee383dc5d948db80431.json,21fa8aaaee2b680ce325d2b5d1d70ee4ff7eec47c9abfa61f3c0898a08527061
confirmation,c642eb9afecb45a1d8a9c633,v4,weighted,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.47174630599965894,max_nodes,results/v518_confirmation_predictions_v1/shards/v4_numeric/c642eb9afecb45a1d8a9c633.json,0db5909086f99379ba51c40ab693f8945315426c33f0fa3a524d3a040159a85d
confirmation,c642eb9afecb45a1d8a9c633,v511,weighted,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.4661461309997321,max_nodes,results/v518_confirmation_predictions_v1/shards/v511_numeric/c642eb9afecb45a1d8a9c633.json,85f16cd2a638a2d9f86d6a51e6e0504ba38b491ed0fb96392385f6ab29144fdb
confirmation,c03df37afe200e603b35ac01,v4,product,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,5.674831056000585,max_evaluations,results/v518_confirmation_predictions_v1/shards/v4_numeric/c03df37afe200e603b35ac01.json,7dd78a1270547c76bd68010818060bd481b01146137465dd64de559d46efdf2f
confirmation,c03df37afe200e603b35ac01,v511,product,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,5.482312832999924,max_evaluations,results/v518_confirmation_predictions_v1/shards/v511_numeric/c03df37afe200e603b35ac01.json,387e003d8b189ee0d09f2f6a7fd3b916a8d6617e735bc520eb238bb09a7c7973
confirmation,020922f67a50ed0c86b4f5c4,v4,product,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,5.395815579000555,max_evaluations,results/v518_confirmation_predictions_v1/shards/v4_numeric/020922f67a50ed0c86b4f5c4.json,cabd35e731f51a1d153e3ce234f2cbe577820273e2531b854f29fdaefa3ef1c3
confirmation,020922f67a50ed0c86b4f5c4,v511,product,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,5.383522161000656,max_evaluations,results/v518_confirmation_predictions_v1/shards/v511_numeric/020922f67a50ed0c86b4f5c4.json,bf7447a50e18f858a608d3a29250c02a51170a703304af97068d749bdd29d834
confirmation,f53d896d307f261f61ae8663,v4,product,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.6025135439995211,max_nodes,results/v518_confirmation_predictions_v1/shards/v4_numeric/f53d896d307f261f61ae8663.json,fa11033035bf7d389539ed45712e4f45a7a86746c8cece38fbd90d01e7db6410
confirmation,f53d896d307f261f61ae8663,v511,product,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.5471934329998476,max_nodes,results/v518_confirmation_predictions_v1/shards/v511_numeric/f53d896d307f261f61ae8663.json,c0fdcf028f93cb4dd2353c00278649dcfb1882fd0c136b36fe5c6ecdb2fb5e81
confirmation,583b9f18e8a91821f456c9e8,v4,product,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.5442107549997672,max_nodes,results/v518_confirmation_predictions_v1/shards/v4_numeric/583b9f18e8a91821f456c9e8.json,eeedd8ed151b3c4292fc5995ac8cde4b6b6bc6fa40b949bb4e99c58161b1c1db
confirmation,583b9f18e8a91821f456c9e8,v511,product,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.550947979000739,max_nodes,results/v518_confirmation_predictions_v1/shards/v511_numeric/583b9f18e8a91821f456c9e8.json,4c85e712d060eb3ea08fb28aba43f482c391d34e3513fb32f98cd0d787b7354d
confirmation,70a1cf392340f829827edfae,v4,ratio,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,5.305429355000342,max_evaluations,results/v518_confirmation_predictions_v1/shards/v4_numeric/70a1cf392340f829827edfae.json,86d7337e91123254ee209a8592bcb2fe300c31a43f0db9fb877f16fac05cc07a
confirmation,70a1cf392340f829827edfae,v511,ratio,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,5.251998805000767,max_evaluations,results/v518_confirmation_predictions_v1/shards/v511_numeric/70a1cf392340f829827edfae.json,91329e5061e11633de7fc6d2099941bd1a52f413777385f3cdfd27fecaf7fada
confirmation,192aa619aa2a47a39f840ff6,v4,ratio,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,5.343785175999983,max_evaluations,results/v518_confirmation_predictions_v1/shards/v4_numeric/192aa619aa2a47a39f840ff6.json,405ed5b09661ae577510fa1a5bd8892ec22a08bb70f35c3a62fa768be2e10937
confirmation,192aa619aa2a47a39f840ff6,v511,ratio,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,5.211904421999861,max_evaluations,results/v518_confirmation_predictions_v1/shards/v511_numeric/192aa619aa2a47a39f840ff6.json,8b7b7bfd598db7d806ef39ff0d2d1afb0fe659c79ddc087a6077d5830a66c594
confirmation,8f222660e8d179862c9986c0,v4,ratio,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.518929188000584,max_nodes,results/v518_confirmation_predictions_v1/shards/v4_numeric/8f222660e8d179862c9986c0.json,9ae44f1afc0469725597de6745e95965f719a4fa3ed41202ddc1f29376ae8059
confirmation,8f222660e8d179862c9986c0,v511,ratio,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.6594260729998496,max_nodes,results/v518_confirmation_predictions_v1/shards/v511_numeric/8f222660e8d179862c9986c0.json,824325f955cd10230514f754a156711e3dd31f15dc67ba204d6d4ed1601c9861
confirmation,2f90a7158cb25cda5e875c80,v4,ratio,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.5247043050003413,max_nodes,results/v518_confirmation_predictions_v1/shards/v4_numeric/2f90a7158cb25cda5e875c80.json,17fb21c78c3245f637a0b795da964cfb738043c9a02355ba17c1b9335cd91219
confirmation,2f90a7158cb25cda5e875c80,v511,ratio,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.5111903610004447,max_nodes,results/v518_confirmation_predictions_v1/shards/v511_numeric/2f90a7158cb25cda5e875c80.json,f9d1994f1abb893c8090870b268af86f95c21f91e6ed607a76824de17bf42678
confirmation,b6b2c2b1b589416223b3884f,v4,weighted,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,7.173684259999391,max_evaluations,results/v518_confirmation_predictions_v1/shards/v4_numeric/b6b2c2b1b589416223b3884f.json,87d34faf422d38da5a4a14561479e2f13d031def849714310f1058d37eed02b1
confirmation,b6b2c2b1b589416223b3884f,v511,weighted,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,6.869374987999436,max_evaluations,results/v518_confirmation_predictions_v1/shards/v511_numeric/b6b2c2b1b589416223b3884f.json,0f2cf655e890c9d5f1d21567ec770086eeedd9db01fa8f8698eb04d86c6f2726
confirmation,65c99634596585ef3c8d6c12,v4,weighted,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,7.1128311209995445,max_evaluations,results/v518_confirmation_predictions_v1/shards/v4_numeric/65c99634596585ef3c8d6c12.json,86cc6572930b86111c78d80d1ecb26fcb3fc812d01f499d6de0ef0fe2bea0a84
confirmation,65c99634596585ef3c8d6c12,v511,weighted,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,6.686065693999808,max_evaluations,results/v518_confirmation_predictions_v1/shards/v511_numeric/65c99634596585ef3c8d6c12.json,06dc2356cf9a5cb10208c36af1005b568e828caa0c800bf9f11b43d86dffb550
confirmation,7d91eb61064e9a6ea736edff,v4,weighted,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.5922326320005595,max_nodes,results/v518_confirmation_predictions_v1/shards/v4_numeric/7d91eb61064e9a6ea736edff.json,bc51db9bcec606c1f0ea3343d19e5873c42d79f74520f8ebe5b07b3ac1626bca
confirmation,7d91eb61064e9a6ea736edff,v511,weighted,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.5897854779996123,max_nodes,results/v518_confirmation_predictions_v1/shards/v511_numeric/7d91eb61064e9a6ea736edff.json,8d7b2be4d97ddb85c9af456b8d6f075b5549952844594a70c4a84670a82a3cd3
confirmation,894bad0d05e37d618788684f,v4,weighted,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.5639841599995634,max_nodes,results/v518_confirmation_predictions_v1/shards/v4_numeric/894bad0d05e37d618788684f.json,fe2170b3d8ca2f4fb835ca8454ca64887f274144b336b996e86801b7e5c71ea1
confirmation,894bad0d05e37d618788684f,v511,weighted,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.592814589000227,max_nodes,results/v518_confirmation_predictions_v1/shards/v511_numeric/894bad0d05e37d618788684f.json,3d37bc08f9b597d61593555e5540e289e8e240155db090fd3fcad3768eb9e498
