G3 1/192: ['unique_solution', 'unique_solution']
G3 158/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 159/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 160/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 161/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 162/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 163/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 164/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 165/192: ['unique_solution', 'unique_solution']
G3 166/192: ['unique_solution', 'unique_solution']
G3 167/192: ['budget_exceeded', 'budget_exceeded']
G3 168/192: ['budget_exceeded', 'budget_exceeded']
G3 169/192: ['unique_solution', 'unique_solution']
G3 170/192: ['unique_solution', 'unique_solution']
G3 171/192: ['unique_solution', 'unique_solution']
G3 172/192: ['unique_solution', 'unique_solution']
G3 173/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 174/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 175/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 176/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 177/192: ['no_solution', 'no_solution']
G3 178/192: ['no_solution', 'no_solution']
G3 179/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 180/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 181/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 182/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 183/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 184/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 185/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 186/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 187/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 188/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 189/192: ['unique_solution', 'unique_solution']
G3 190/192: ['unique_solution', 'unique_solution']
G3 191/192: ['budget_exceeded', 'budget_exceeded']
G3 192/192: ['budget_exceeded', 'budget_exceeded']
